Season,RankingDayNum,SystemName,TeamID,OrdinalRank
2003,57,BRZ,1102,167
2003,57,BRZ,1103,207
2003,57,BRZ,1104,26
2003,57,BRZ,1105,291
2003,57,BRZ,1106,244
2003,57,BRZ,1107,251
2003,57,BRZ,1108,298
2003,57,BRZ,1110,182
2003,57,BRZ,1111,122
2003,57,BRZ,1112,1
2003,57,BRZ,1113,41
2003,57,BRZ,1114,153
2003,57,BRZ,1115,319
2003,57,BRZ,1116,94
2003,57,BRZ,1117,219
2003,57,BRZ,1119,323
2003,57,BRZ,1120,54
2003,57,BRZ,1122,151
2003,57,BRZ,1123,88
2003,57,BRZ,1124,171
2003,57,BRZ,1125,210
2003,57,BRZ,1126,237
2003,57,BRZ,1127,178
2003,57,BRZ,1128,189
2003,57,BRZ,1129,175
2003,57,BRZ,1130,45
2003,57,BRZ,1131,100
2003,57,BRZ,1132,174
2003,57,BRZ,1133,200
2003,57,BRZ,1135,269
2003,57,BRZ,1137,148
2003,57,BRZ,1138,250
2003,57,BRZ,1139,29
2003,57,BRZ,1140,13
2003,57,BRZ,1141,101
2003,57,BRZ,1142,253
2003,57,BRZ,1143,87
2003,57,BRZ,1144,270
2003,57,BRZ,1145,111
2003,57,BRZ,1147,242
2003,57,BRZ,1148,235
2003,57,BRZ,1149,180
2003,57,BRZ,1150,163
2003,57,BRZ,1151,138
2003,57,BRZ,1152,272
2003,57,BRZ,1153,30
2003,57,BRZ,1154,311
2003,57,BRZ,1155,65
2003,57,BRZ,1156,225
2003,57,BRZ,1157,190
2003,57,BRZ,1158,58
2003,57,BRZ,1159,289
2003,57,BRZ,1160,96
2003,57,BRZ,1161,91
2003,57,BRZ,1162,308
2003,57,BRZ,1163,27
2003,57,BRZ,1164,283
2003,57,BRZ,1165,320
2003,57,BRZ,1166,3
2003,57,BRZ,1168,307
2003,57,BRZ,1169,162
2003,57,BRZ,1170,297
2003,57,BRZ,1171,263
2003,57,BRZ,1172,62
2003,57,BRZ,1173,46
2003,57,BRZ,1174,127
2003,57,BRZ,1175,224
2003,57,BRZ,1176,131
2003,57,BRZ,1177,31
2003,57,BRZ,1178,130
2003,57,BRZ,1179,206
2003,57,BRZ,1180,161
2003,57,BRZ,1181,14
2003,57,BRZ,1182,214
2003,57,BRZ,1183,160
2003,57,BRZ,1184,303
2003,57,BRZ,1185,281
2003,57,BRZ,1186,109
2003,57,BRZ,1187,89
2003,57,BRZ,1189,276
2003,57,BRZ,1190,155
2003,57,BRZ,1191,134
2003,57,BRZ,1192,264
2003,57,BRZ,1193,121
2003,57,BRZ,1194,257
2003,57,BRZ,1196,10
2003,57,BRZ,1197,181
2003,57,BRZ,1198,252
2003,57,BRZ,1199,64
2003,57,BRZ,1200,278
2003,57,BRZ,1201,69
2003,57,BRZ,1202,230
2003,57,BRZ,1203,102
2003,57,BRZ,1204,243
2003,57,BRZ,1205,262
2003,57,BRZ,1206,84
2003,57,BRZ,1207,39
2003,57,BRZ,1208,32
2003,57,BRZ,1209,239
2003,57,BRZ,1210,76
2003,57,BRZ,1211,44
2003,57,BRZ,1212,292
2003,57,BRZ,1214,132
2003,57,BRZ,1216,233
2003,57,BRZ,1217,119
2003,57,BRZ,1218,74
2003,57,BRZ,1219,223
2003,57,BRZ,1220,304
2003,57,BRZ,1221,71
2003,57,BRZ,1222,271
2003,57,BRZ,1224,274
2003,57,BRZ,1225,202
2003,57,BRZ,1226,218
2003,57,BRZ,1227,77
2003,57,BRZ,1228,11
2003,57,BRZ,1229,265
2003,57,BRZ,1231,17
2003,57,BRZ,1232,198
2003,57,BRZ,1233,168
2003,57,BRZ,1234,48
2003,57,BRZ,1235,59
2003,57,BRZ,1236,285
2003,57,BRZ,1237,196
2003,57,BRZ,1238,259
2003,57,BRZ,1239,275
2003,57,BRZ,1240,194
2003,57,BRZ,1241,229
2003,57,BRZ,1242,22
2003,57,BRZ,1243,108
2003,57,BRZ,1245,37
2003,57,BRZ,1246,16
2003,57,BRZ,1247,170
2003,57,BRZ,1248,245
2003,57,BRZ,1249,273
2003,57,BRZ,1250,203
2003,57,BRZ,1251,240
2003,57,BRZ,1252,295
2003,57,BRZ,1253,313
2003,57,BRZ,1254,260
2003,57,BRZ,1256,217
2003,57,BRZ,1257,12
2003,57,BRZ,1258,232
2003,57,BRZ,1259,296
2003,57,BRZ,1260,241
2003,57,BRZ,1261,21
2003,57,BRZ,1263,255
2003,57,BRZ,1264,125
2003,57,BRZ,1265,195
2003,57,BRZ,1266,23
2003,57,BRZ,1267,221
2003,57,BRZ,1268,18
2003,57,BRZ,1269,166
2003,57,BRZ,1270,83
2003,57,BRZ,1271,324
2003,57,BRZ,1272,40
2003,57,BRZ,1273,204
2003,57,BRZ,1274,118
2003,57,BRZ,1275,110
2003,57,BRZ,1276,120
2003,57,BRZ,1277,33
2003,57,BRZ,1278,57
2003,57,BRZ,1279,55
2003,57,BRZ,1280,28
